File_name,Nucleus_area,Nucleus_MFI,Foci_number,Foci_MFI
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_01),355.54,94.377,31,3393.0890738709672
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_02),345.568,48.913,31,4159.5114570967735
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_03),385.315,34.386,11,5125.034441818183
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_05),253.089,30.647,16,3953.589221875
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_06),443.101,24.777,21,4454.09198952381
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_07),210.428,31.383,21,4159.061390476191
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_08),218.375,86.691,22,2990.7663350000003
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_09),375.486,24.418,10,10886.743139999999
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_10),470.805,134.282,14,5976.578689285714
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_11),335.651,63.387,31,4029.130602903226
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_12),443.912,106.389,13,5300.772609230769
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_13),344.781,52.173,26,5847.908378846153
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_14),378.991,44.557,22,4254.843376818182
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_15),392.217,28.613,21,5899.750953809524
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_16),317.618,63.19,27,3750.109602592592
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_17),377.47,74.198,8,7824.3789
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_18),392.792,14.108,12,8276.686225
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_19),378.082,68.05,18,17090.410012222223
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_20),302.222,118.071,21,5273.718554761906
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_21),351.778,60.211,29,4400.074175172414
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_22),332.829,39.634,9,5282.698826666667
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_23),255.455,19.152,25,5985.8071696
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_24),500.982,41.809,25,8234.5469036
C2_MP_U2OS_fixed_20nMJF549_ORC1_MGS1.nd2_(series_25),482.956,20.834,17,6890.412243529412
