"id","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
1,8303.70586,8035.1322,7172.81263,6.61605
2,9250.93244,16189.47918,3099.39271,7.10336
3,11065.79471,15603.14902,3776.46883,7.73411
4,11711.186,12603.61439,7505.43022,3.23822
5,11823.30095,4462.7467,3891.88188,5.15694
6,12884.43616,18217.95903,1836.09489,5.53093
7,13176.6754,3461.30112,3005.70512,6.17444
8,14391.31241,12378.09652,1886.0144,6.40056
9,14738.62854,14073.17018,1497.11444,8.43918
10,16965.10359,22683.24985,1795.05565,6.34991
11,17142.82976,18558.26708,3886.56315,4.24099
12,17497.65492,21078.32146,1032.87575,9.03045
13,17995.80628,11134.779,1578.6167,8.05256
14,18374.97001,28265.89457,1172.15527,6.42347
15,18998.12737,24533.09093,1502.44829,7.05989
16,19877.44232,22390.83691,1247.20631,9.02199
17,21862.75461,27917.35511,1659.05128,8.36107
18,21949.64955,17672.01001,5736.96586,6.24043
19,22372.17477,21466.07624,1714.23432,5.00253
20,23327.35603,15481.27067,1862.95004,8.54614
21,23792.97573,27820.83726,8298.56953,2.66038
22,24000.42655,24187.27787,8629.42927,5.24353
23,24874.96227,17518.78513,7178.15867,6.7549
24,25251.1397,29288.99963,1112.44116,8.99441
25,27949.70314,16293.47592,2343.37625,5.1313
26,28370.72382,22709.95929,2562.78037,4.70764
27,28882.85072,29436.54888,10862.8624,6.84549
28,29280.8625,16898.01699,1205.52374,5.84706
29,30233.03741,14900.9986,1533.79964,7.03629
30,30273.0592,28328.09836,875.88616,8.73159
31,31200.23898,23589.58682,3723.89636,5.97354
