filename,mean_intensity,T-half,Mobile Fraction,R square
MGS5_002,3.5475,8.86,0.78,0.98
MGS5_003,3.6474999999999995,7.22,0.67,0.99
MGS5_004,4.735833333333333,6.5,0.74,0.98
MGS5_005,4.527666666666666,6.74,0.78,0.99
MGS5_006,5.926333333333333,10.05,0.63,0.98
MGS5_008,2.9385,5.91,0.73,0.98
MGS5_010,3.533166666666667,5.57,0.76,0.99
MGS5_011,3.5981666666666663,6.13,0.7,0.98
MGS5_012,5.191833333333333,8.1,0.6,0.98
MGS5_017,3.8565,6.59,0.76,0.98
MGS5_018,2.4113333333333333,4.3,0.73,0.94
MGS5_019,3.1255,6.66,0.75,0.98
