filename,mean_intensity,T-half,Mobile Fraction,R square
WT_003,3.0365,7.52,0.76,0.96
WT_004,1.804,7.13,0.66,0.97
WT_005,2.4851666666666667,7.9,0.93,0.96
WT_006,2.653166666666667,7.78,0.76,0.95
WT_007,1.7176666666666665,8.9,0.9,0.86
WT_008,3.0398333333333336,6.78,0.63,0.96
WT_009,2.4926666666666666,6.67,0.65,0.97
WT_010,3.3593333333333333,6.67,0.69,0.98
WT_011,2.7855000000000003,7.32,0.68,0.98
WT_012,23.175666666666668,4.15,0.85,0.99
WT_013,2.047166666666667,6.18,0.7,0.96
WT_014,5.545166666666667,6.23,0.67,0.98
WT_015,6.276833333333333,4.12,0.85,0.97
WT_016,3.8016666666666663,4.93,0.84,0.96
WT_017,4.988,7.44,0.81,0.98
WT_018,1.3691666666666666,6.69,0.84,0.92
WT_019,14.409500000000001,3.98,0.81,0.99
WT_020,1.8375000000000001,6.2,0.76,0.93
WT_021,2.845166666666667,8.66,0.7,0.98
WT_022,3.296666666666667,8.27,0.67,0.98
WT_023,2.749166666666667,6.29,0.77,0.97
