Time,0008-0292-0286,0008-0070-0103,0008-0301-0295
0.659,2.690,0.032,4.713
1.318,2.747,0.031,4.663
1.977,2.728,0.033,4.627
2.636,2.731,0.033,4.614
3.295,2.713,0.031,4.663
3.954,2.708,0.034,4.646
4.613,2.375,0.034,0.905
5.272,2.329,0.033,1.127
5.931,2.330,0.034,1.316
6.590,2.311,0.035,1.336
7.249,2.283,0.032,1.500
7.908,2.274,0.032,1.508
8.567,2.237,0.035,1.623
9.226,2.247,0.033,1.599
9.885,2.230,0.033,1.680
10.544,2.221,0.031,1.652
11.203,2.238,0.034,1.742
11.862,2.193,0.036,1.714
12.521,2.199,0.033,1.889
13.180,2.182,0.032,1.830
13.839,2.186,0.035,1.927
14.498,2.179,0.034,1.997
15.157,2.178,0.038,1.975
15.816,2.171,0.031,1.982
16.475,2.134,0.030,2.136
17.134,2.129,0.031,2.043
17.793,2.121,0.032,2.038
18.452,2.116,0.035,2.132
19.111,2.121,0.034,2.114
19.770,2.109,0.032,2.114
20.429,2.092,0.035,2.100
21.088,2.087,0.032,2.153
21.747,2.084,0.034,2.069
22.406,2.075,0.034,2.210
23.065,2.039,0.032,2.129
23.724,2.020,0.032,2.173
28.724,2.017,0.034,2.151
33.724,2.019,0.030,2.159
38.724,2.029,0.031,2.216
43.724,2.028,0.036,2.342
48.724,1.989,0.034,2.343
53.724,2.002,0.030,2.202
58.724,1.973,0.033,2.410
63.724,1.976,0.033,2.271
68.724,1.958,0.031,2.355
