"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
1,4342.70453,10345.95501,135.91992,1322.35905,12.05581
2,4540.0261,9317.21851,155.8772,1934.23662,14.05974
3,4584.73265,8620.79523,101.56444,560.30356,12.38605
4,4477.83703,10047.69744,116.04594,348.96153,27.94538
5,4579.54209,10887.83522,127.89763,1072.85544,13.68545
6,4553.44778,11574.85744,222.25453,3861.26123,12.52724
7,4655.80848,12557.84585,170.91458,2861.70566,8.50286
8,4620.2478,11529.41059,214.49839,2265.49117,16.4255
9,4776.21333,9240.7309,155.92781,2220.35187,8.6711
10,4681.47158,11807.43141,161.79126,1794.23301,16.93284
11,4703.00319,12352.73629,185.30372,2083.3691,17.68138
12,5030.47371,7659.0825,119.1747,779.26233,12.40612
13,5032.29441,13417.85199,138.25522,1036.17699,15.80229
14,5210.22364,8216.41226,157.8894,1086.54236,14.86966
15,5115.99855,8827.25053,115.61124,1271.06478,9.29277
16,5042.78282,12730.00309,102.86507,331.46335,21.22695
17,5297.88403,6909.50121,98.10533,560.97273,14.73137
18,5299.14202,10238.31472,130.82143,1038.36628,13.85193
19,5338.00459,9997.97987,105.68358,781.24797,10.50124
20,5365.85805,11846.97681,108.34812,744.37151,11.91046
21,5264.70017,13954.01987,119.11117,772.73416,13.24891
22,5387.8105,7981.81031,113.90579,590.95201,15.28744
23,5511.14573,12687.42531,133.30445,649.60288,18.65214
24,5564.08328,9247.79717,105.21584,707.7061,15.61318
25,5544.67365,11051.93159,137.322,1130.85113,9.87481
26,5591.06095,13337.77193,152.7795,1139.20167,15.16591
27,5709.97412,15112.26903,138.1219,1275.5236,13.54722
28,5634.24409,7442.43101,105.75942,638.94137,11.79251
29,5849.37427,6562.76082,247.73963,3020.52241,12.62963
30,5707.31069,8229.08907,43.63656,154.89235,12.2495
31,5686.21227,10374.07719,116.79702,746.89389,13.0377
32,5765.68723,15668.3523,104.6467,595.67444,15.16151
33,5829.56601,11996.49154,29.44573,149.04159,6.97986
34,5816.18586,15128.22459,153.54191,1492.13946,14.45681
35,5863.88987,16291.24058,119.29458,828.90239,14.54504
36,6008.54307,9721.64706,145.07181,762.48752,22.04783
37,5933.70823,12434.87352,79.98639,683.00554,9.41249
38,6126.35525,17128.11188,116.47683,228.35411,27.9179
39,6066.75662,6170.06778,137.2594,1734.20899,6.88851
40,6042.2626,6595.7161,217.23355,3005.24194,12.06462
41,6009.27941,13067.57361,57.47206,194.42223,18.28965
42,5994.38943,13465.16988,161.3937,1383.13774,14.53031
