File_name,Nucleus_area,Nucleus_MFI,Foci_number,Foci_MFI,Foci_sigma
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_01),214.831,57.972,816,8545.913644963237,226.84176349264703
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_02),214.068,20.345,809,2971.3154105067983,189.37762731767614
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_03),244.12,31.844,801,7157.918375106116,198.49726006242196
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_04),324.501,65.776,995,3165.7199236180904,197.74723516582912
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_05),433.177,37.046,1051,4011.8455276593713,180.3164524833492
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_06),292.703,72.286,989,4988.953285733063,224.72132670374117
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_07),326.675,24.606,945,3229.3435884761907,169.67247571428572
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_08),393.244,64.025,1099,4549.069178680619,198.46298289353956
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_09),294.401,127.497,988,8285.595574423078,232.6485409716599
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_10),418.307,37.956,1204,3536.486368372093,181.7350210215947
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_11),468.26,35.261,1160,2654.4268032327586,176.92562321551722
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_12),592.994,29.271,1108,2796.9184975361013,172.52764383574007
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_13),288.463,48.34,880,6965.916931034091,204.13549410227273
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_14),336.177,53.645,785,7435.2500391847125,195.29949272611464
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_15),237.506,53.062,886,4127.970804706546,196.21426963882618
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_16),284.329,60.059,1029,3062.2480743148685,207.12611227405247
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_17),282.615,73.87,978,7821.467366584868,227.5704996216769
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_18),284.802,88.651,1000,5151.05217203,215.42476324
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_19),226.824,73.406,841,11494.47656963139,218.60228362663494
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_21),393.337,36.648,1144,4242.490974335664,189.2616235576923
C2_MP_U2OS_fixed_20nMJF549_ORC1_WT.nd2_(series_23),176.926,193.339,666,12683.480738543545,247.88751618618622
