"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
1,5348.63945,7656.59629,45.47298,1411.61256,7.2555
2,5681.25918,8893.63029,71.72895,1313.5792,12.61756
3,5664.00179,8115.08397,105.36936,6466.30563,8.95652
4,5740.10787,6716.86459,77.6239,2201.61762,14.41114
5,5741.64056,6262.88435,48.19687,965.92339,7.66627
6,5666.67952,6795.26104,106.65626,3993.26498,14.19983
7,5652.7801,7987.8467,76.57273,3171.86061,9.496
8,5870.57301,3379.62039,34.9144,333.2948,10.42823
9,5827.41697,4246.88903,49.0494,1275.60452,7.50399
10,5820.43332,4929.5521,40.72096,559.941,7.88707
11,5918.11335,4537.85405,45.02563,803.46227,8.1372
12,5914.34292,8837.20511,177.81491,10287.93656,12.52094
13,5954.78534,9742.46186,92.44052,4395.39401,9.3893
14,5963.45377,9751.43455,89.06755,4568.04446,9.29338
15,6025.84048,5842.39793,93.92877,9639.33859,6.49497
16,6037.33834,7223.61355,115.77049,5553.56566,10.75154
17,5928.81452,8939.12798,73.94965,2390.9612,12.31126
18,6047.1707,5459.70587,45.45457,907.45175,8.57665
19,6144.57543,5158.21162,43.60622,414.39728,14.73544
20,6203.51485,5034.99769,45.05016,485.75818,13.88219
21,6174.74887,10327.77318,50.711,669.98056,13.74263
22,6374.51006,2630.53261,79.31747,3034.66628,13.02862
23,6187.96496,6204.07316,60.04994,1176.14145,16.5092
24,6253.19637,6918.83143,75.0722,2030.69058,14.57221
25,6224.54247,8308.33874,120.65776,6977.23761,10.48052
26,6220.48405,8839.90907,53.98627,1115.40459,12.70404
27,6371.124,3237.72508,75.91751,3910.08389,7.99158
28,6358.31311,3800.16306,62.73665,1579.55678,9.81536
29,6348.72312,5713.87496,86.70509,5290.0056,8.90822
30,6499.38348,2514.34247,102.22021,5380.29503,11.68877
31,6493.70534,9281.02615,95.23955,4390.07569,12.46222
32,6458.86577,5376.94151,43.76384,669.1922,10.63327
33,6569.77747,6547.61248,159.29639,10621.13154,11.35359
34,6514.82577,7644.435,133.26391,10455.13628,6.75406
35,6497.63454,9729.38352,119.23054,7673.27031,11.46202
36,6642.33122,4177.08081,93.13617,3636.63659,11.55714
37,6505.40343,4389.62188,92.07989,2753.45938,13.15383
38,6487.6327,8087.26201,101.85125,3077.91641,12.81737
39,6679.69295,6398.90374,146.60796,15038.14538,5.03145
40,6643.35242,7170.78984,41.47249,481.07942,11.19505
41,6700.99891,10358.21547,137.32844,9065.34143,9.35094
42,6773.64589,2403.8305,109.11741,7692.94197,9.97294
43,6685.01547,3015.10648,120.33663,8647.05905,6.23362
44,6772.42363,5857.81171,90.1766,2407.74869,15.21065
45,6691.85704,9706.1091,93.71397,5109.12783,11.70367
46,6747.59035,10963.70781,95.41647,2703.26086,12.57659
47,6706.37627,11785.57525,90.57044,10263.95932,5.95846
48,6770.36922,3395.78599,73.20807,1718.33859,14.13759
49,6805.67209,8774.03683,94.90074,4607.25937,9.50164
50,6934.07304,4977.71905,84.47232,3102.18626,12.33132
51,6733.21497,9439.88196,96.41842,4681.97977,10.6949
52,6902.43894,10509.81129,113.74377,2457.52032,18.62251
53,6826.93208,4160.9984,133.35284,6507.60831,9.48076
54,6860.59184,6372.92634,109.35475,7805.06075,11.41722
55,6882.5494,10397.53807,116.0746,6580.31508,8.5845
56,6895.60153,2098.72527,80.72968,2861.35889,11.81647
57,6876.26449,4095.01921,83.68745,3508.23436,11.77807
58,7028.32997,5219.6685,140.09973,10826.97311,8.4427
59,6895.51833,6008.28226,96.91392,2162.12389,16.35445
60,6938.6834,6759.94503,110.12936,3840.51919,13.37756
61,7033.39435,2393.21242,110.28682,6573.21149,13.14533
62,6965.64,8150.00743,74.94509,2185.86099,11.46211
63,7021.45497,10030.70334,70.47776,2208.5748,12.39124
64,6999.93544,11142.78944,172.59842,10853.04936,13.46598
65,7118.93942,3759.32281,108.56227,3992.28591,14.51616
66,7090.73167,2474.56746,157.31658,10105.93564,12.09297
67,7202.71105,4648.10905,113.16604,2449.2263,19.46292
68,7146.30073,12393.89816,75.43806,2767.42874,10.7483
69,7051.87046,3320.70409,74.98614,1400.75261,16.02522
70,7159.08408,11632.69568,76.59725,2399.72086,12.5413
71,7190.68071,3701.80349,83.07842,2399.32129,14.18912
72,7365.16712,7631.10292,100.0128,6413.29918,10.19477
73,7295.45097,10941.39069,106.38976,2768.72288,13.10972
74,7220.19594,11170.25822,149.61198,7519.6581,12.70464
75,7286.56285,11975.08701,84.04566,4683.04569,9.87316
76,7386.71845,3001.07584,43.82467,737.09798,7.88922
77,7368.78829,5449.16228,88.25741,6115.87581,9.27303
78,7405.29823,7210.89859,153.54402,11086.65843,10.23071
79,7431.18721,12919.97176,100.05169,7299.62161,9.10491
80,7557.13116,4775.76523,69.89137,1804.04376,11.76398
81,7389.66805,8296.14486,41.03289,520.75428,11.91481
82,7419.21179,8593.16386,42.73172,917.01589,11.49862
83,7493.98604,13061.62262,90.30885,5900.63155,10.40857
84,7562.24776,9749.66122,89.76835,5258.05286,10.45034
85,7563.84122,10565.7671,75.32649,1716.0117,13.19004
86,7645.12828,1896.05309,242.08686,17795.19063,14.09845
87,7486.66669,2471.83082,59.52365,1718.19808,8.46287
88,7518.11763,3662.31261,61.74214,1946.77298,10.30608
89,7576.84103,4773.07366,84.05804,3793.04052,9.1413
90,7573.35172,6528.25694,93.33847,4455.85582,8.39464
91,7555.07003,6979.66157,83.37603,3711.1271,10.16372
92,7637.74537,7776.36887,90.04641,4317.46869,11.20189
93,7507.92246,8709.20497,84.46802,2489.93302,13.22852
94,7500.65061,10129.24133,83.9444,3052.77375,12.31179
95,7643.56024,11381.87821,61.97116,1415.54269,11.97511
96,7800.65507,3338.43448,86.83646,2660.36851,10.12669
97,7574.05797,7531.23881,129.67964,8384.94685,10.54284
98,7702.72245,9135.97248,87.351,3296.64247,10.7691
99,7694.62058,4050.16047,89.12582,4557.09515,7.38181
100,7600.56487,9536.04781,196.58211,17849.35948,9.40299
101,7909.52709,1160.6523,55.98056,987.0271,12.63217
102,7756.8971,1825.30589,114.20951,6649.31358,9.14599
103,7891.95623,2844.06421,65.19573,998.98491,12.84422
104,7679.98965,7630.10642,107.29693,5236.50695,14.58224
105,7773.00023,12976.33561,182.68469,24171.72042,6.31592
106,7935.0749,5853.14941,91.30065,2945.66144,13.50168
107,7753.87811,11890.07782,86.69583,5375.48485,7.59531
108,7924.61098,12448.08536,103.18844,5084.5823,10.82965
109,7846.41321,6890.92976,57.11779,1395.23847,10.02952
110,7702.04466,9133.03544,95.26005,3410.1824,12.45332
111,7886.78956,3415.23344,82.41968,4498.98086,6.76219
112,7984.99709,5280.38375,82.56714,2041.376,13.51712
