id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
3,5664.00179,8115.08397,105.36936,6466.30563,8.95652,99,138,2,0.12244008714596949,False
4,5740.10787,6716.86459,77.6239,2201.61762,14.41114,100,114,1,0.0392156862745098,False
6,5666.67952,6795.26104,106.65626,3993.26498,14.19983,99,116,2,0.09716775599128541,False
7,5652.7801,7987.8467,76.57273,3171.86061,9.496,98,136,1,0.13725490196078433,False
12,5914.34292,8837.20511,177.81491,10287.93656,12.52094,103,151,3,0.12125490196078433,False
13,5954.78534,9742.46186,92.44052,4395.39401,9.3893,104,166,2,0.12026143790849675,False
14,5963.45377,9751.43455,89.06755,4568.04446,9.29338,104,166,2,0.12026143790849675,False
15,6025.84048,5842.39793,93.92877,9639.33859,6.49497,105,100,2,0.21132897603485837,False
16,6037.33834,7223.61355,115.77049,5553.56566,10.75154,105,123,2,0.17211328976034856,False
22,6374.51006,2630.53261,79.31747,3034.66628,13.02862,111,45,1,0.14509803921568626,False
24,6253.19637,6918.83143,75.0722,2030.69058,14.57221,109,118,1,0.09411764705882353,False
25,6224.54247,8308.33874,120.65776,6977.23761,10.48052,108,142,2,0.1625272331154684,False
27,6371.124,3237.72508,75.91751,3910.08389,7.99158,111,55,1,0.13333333333333333,False
29,6348.72312,5713.87496,86.70509,5290.0056,8.90822,110,97,1,0.24705882352941178,True
30,6499.38348,2514.34247,102.22021,5380.29503,11.68877,113,43,2,0.16122004357298478,False
31,6493.70534,9281.02615,95.23955,4390.07569,12.46222,113,158,2,0.12200435729847496,False
33,6569.77747,6547.61248,159.29639,10621.13154,11.35359,114,112,3,0.21427450980392154,False
34,6514.82577,7644.435,133.26391,10455.13628,6.75406,113,130,2,0.20610021786492372,False
35,6497.63454,9729.38352,119.23054,7673.27031,11.46202,113,166,2,0.15947712418300652,False
36,6642.33122,4177.08081,93.13617,3636.63659,11.55714,116,71,2,0.1664488017429194,False
