"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
1,12886.03135,15329.57455,253.18023,9360.30665,6.52939
2,13073.14426,13939.38825,271.41933,8359.28749,5.31591
3,13387.79332,14910.78254,444.07739,31480.11359,5.74411
4,13450.54301,16265.82093,291.43137,7083.19266,11.65476
5,13495.5922,16593.38287,406.55681,28835.37203,6.02487
6,13484.59109,18587.97279,395.49334,21754.64302,6.73861
7,13452.27091,13151.37474,245.24882,11871.80045,6.61403
8,13490.04638,17526.48501,336.42698,23629.88516,6.53425
9,13511.59046,17920.74754,397.72936,27122.22608,6.56649
10,13509.12628,18306.65479,223.13154,3545.24068,11.53551
11,13536.98212,13772.73107,320.35079,19783.13754,5.50812
12,13386.4893,15011.9072,636.21786,62599.59054,5.93457
13,13762.65772,12628.2526,352.61166,19360.57957,5.39608
14,13673.28967,14392.7005,454.29028,26625.11053,5.58177
15,13604.29063,16549.71105,405.6519,18415.48972,7.60089
16,13827.4014,18985.87674,230.12295,2595.09941,16.98978
17,13747.24904,17117.74865,243.13531,3558.59394,16.69234
18,13972.05667,18119.22619,152.79693,1480.92142,13.01046
19,14059.22529,19857.76846,345.61051,19152.52319,5.66428
20,14047.95223,12093.65825,187.23367,2234.48478,11.49917
21,14165.1591,12643.79953,203.64855,3200.99943,10.69589
22,14159.30962,15187.75312,210.0239,2180.79033,17.11985
23,14144.11504,19339.94867,120.3215,558.91646,20.07058
24,14210.35938,16232.55373,219.63879,1525.55717,23.61681
25,14287.96769,16907.25008,71.49381,228.72968,27.12762
26,14339.70667,14535.12717,84.37896,433.99753,13.40957
27,14488.26142,20501.76149,365.06413,12003.40725,6.68627
28,14390.51285,12833.45792,289.44157,5788.02467,12.38419
29,14413.00346,13993.07407,161.98213,1668.8693,11.05696
30,14423.01865,14952.73808,146.66973,698.14611,23.86615
31,14494.74961,15508.38969,66.22529,338.15489,10.57664
32,14597.58288,16077.91624,98.71896,300.71507,26.61739
33,14761.43039,11596.29592,313.51614,18957.51694,5.60707
34,14781.07647,12044.91113,446.2923,31244.59735,8.75165
35,14749.16489,12394.93361,204.48958,2872.57931,12.68215
36,14838.04361,14320.90956,177.1653,1505.84283,16.50212
37,14986.38988,19880.51337,245.63729,5607.25438,12.14314
38,15063.11893,11090.85273,400.36209,21935.87638,5.60438
39,15018.38902,15750.59564,61.32849,321.71457,9.97275
40,15028.43528,18476.86473,179.99369,3003.40102,10.16311
